"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.494163424124514,0.164457560146051,0.923076923076923,0.385365853658537,0.424778761061947
"Accuracy1","Ordinal","GY",0.490196078431373,0.14021164021164,0.862745098039216,0.397058823529412,0.403669724770642
"Accuracy2","Ordinal","GY",0.431372549019608,0.101610904584882,0.882352941176471,0.318627450980392,0.382978723404255
"Accuracy3","Ordinal","GY",0.505882352941176,0.166666666666667,0.901960784313726,0.406862745098039,0.422018348623853
"Accuracy4","Ordinal","GY",0.52156862745098,0.193121693121693,0.941176470588235,0.416666666666667,0.440366972477064
