"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.782101167315175,0.0337048475896328,0.0576923076923077,0.965853658536585,0.0967741935483871
"Accuracy2","Ordinal","GY",0.782101167315175,0.0337048475896328,0.0576923076923077,0.965853658536585,0.0967741935483871
"Accuracy1","Ordinal","GY",0.827450980392157,0.281045751633987,0.235294117647059,0.975490196078431,0.352941176470588
"Accuracy3","Ordinal","GY",0.782101167315175,0.0337048475896328,0.0576923076923077,0.965853658536585,0.0967741935483871
"Accuracy11","Ordinal","GY",0.827450980392157,0.281045751633987,0.235294117647059,0.975490196078431,0.352941176470588
"Accuracy21","Ordinal","GY",0.807843137254902,0.175084175084175,0.156862745098039,0.970588235294118,0.246153846153846
"Accuracy4","Ordinal","GY",0.782101167315175,0.0337048475896328,0.0576923076923077,0.965853658536585,0.0967741935483871
"Accuracy12","Ordinal","GY",0.827450980392157,0.281045751633987,0.235294117647059,0.975490196078431,0.352941176470588
"Accuracy22","Ordinal","GY",0.807843137254902,0.175084175084175,0.156862745098039,0.970588235294118,0.246153846153846
"Accuracy31","Ordinal","GY",0.796078431372549,0.150326797385621,0.156862745098039,0.955882352941177,0.235294117647059
"Accuracy5","Ordinal","GY",0.782101167315175,0.0337048475896328,0.0576923076923077,0.965853658536585,0.0967741935483871
"Accuracy13","Ordinal","GY",0.827450980392157,0.281045751633987,0.235294117647059,0.975490196078431,0.352941176470588
"Accuracy23","Ordinal","GY",0.807843137254902,0.175084175084175,0.156862745098039,0.970588235294118,0.246153846153846
"Accuracy32","Ordinal","GY",0.796078431372549,0.150326797385621,0.156862745098039,0.955882352941177,0.235294117647059
"Accuracy41","Ordinal","GY",0.792156862745098,0.107744107744107,0.117647058823529,0.96078431372549,0.184615384615385
