"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.712062256809339,0.299108130021375,0.653846153846154,0.726829268292683,0.47887323943662
"Accuracy2","Ordinal","GY",0.712062256809339,0.299108130021375,0.653846153846154,0.726829268292683,0.47887323943662
"Accuracy1","Ordinal","GY",0.756862745098039,0.406130268199234,0.764705882352941,0.754901960784314,0.557142857142857
"Accuracy3","Ordinal","GY",0.712062256809339,0.299108130021375,0.653846153846154,0.726829268292683,0.47887323943662
"Accuracy11","Ordinal","GY",0.756862745098039,0.406130268199234,0.764705882352941,0.754901960784314,0.557142857142857
"Accuracy21","Ordinal","GY",0.717647058823529,0.340659340659341,0.745098039215686,0.71078431372549,0.513513513513514
"Accuracy4","Ordinal","GY",0.712062256809339,0.299108130021375,0.653846153846154,0.726829268292683,0.47887323943662
"Accuracy12","Ordinal","GY",0.756862745098039,0.406130268199234,0.764705882352941,0.754901960784314,0.557142857142857
"Accuracy22","Ordinal","GY",0.717647058823529,0.340659340659341,0.745098039215686,0.71078431372549,0.513513513513514
"Accuracy31","Ordinal","GY",0.713725490196078,0.262626262626263,0.568627450980392,0.75,0.442748091603053
"Accuracy5","Ordinal","GY",0.712062256809339,0.299108130021375,0.653846153846154,0.726829268292683,0.47887323943662
"Accuracy13","Ordinal","GY",0.756862745098039,0.406130268199234,0.764705882352941,0.754901960784314,0.557142857142857
"Accuracy23","Ordinal","GY",0.717647058823529,0.340659340659341,0.745098039215686,0.71078431372549,0.513513513513514
"Accuracy32","Ordinal","GY",0.713725490196078,0.262626262626263,0.568627450980392,0.75,0.442748091603053
"Accuracy41","Ordinal","GY",0.756862745098039,0.362139917695473,0.647058823529412,0.784313725490196,0.515625
