"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.386973180076628,0.0515557574381103,0.826923076923077,0.277511961722488,0.349593495934959
"Accuracy1","Ordinal","GY",0.438461538461538,0.0736040609137056,0.788461538461538,0.350961538461538,0.359649122807017
"Accuracy2","Ordinal","GY",0.45,0.0750323415265201,0.769230769230769,0.370192307692308,0.358744394618834
"Accuracy3","Ordinal","GY",0.438461538461538,0.120481927710843,0.923076923076923,0.317307692307692,0.396694214876033
"Accuracy4","Ordinal","GY",0.407692307692308,0.104651162790698,0.942307692307692,0.274038461538462,0.388888888888889
