"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.804597701149425,0.0521256141850036,0.0384615384615385,0.995215311004785,0.0727272727272727
"Accuracy2","Ordinal","GY",0.804597701149425,0.0521256141850036,0.0384615384615385,0.995215311004785,0.0727272727272727
"Accuracy1","Ordinal","GY",0.803846153846154,0.0304182509505705,0.0192307692307692,1,0.0377358490566038
"Accuracy3","Ordinal","GY",0.804597701149425,0.0521256141850036,0.0384615384615385,0.995215311004785,0.0727272727272727
"Accuracy11","Ordinal","GY",0.803846153846154,0.0304182509505705,0.0192307692307692,1,0.0377358490566038
"Accuracy21","Ordinal","GY",0.811538461538462,0.109090909090909,0.0769230769230769,0.995192307692308,0.140350877192982
"Accuracy4","Ordinal","GY",0.804597701149425,0.0521256141850036,0.0384615384615385,0.995215311004785,0.0727272727272727
"Accuracy12","Ordinal","GY",0.803846153846154,0.0304182509505705,0.0192307692307692,1,0.0377358490566038
"Accuracy22","Ordinal","GY",0.811538461538462,0.109090909090909,0.0769230769230769,0.995192307692308,0.140350877192982
"Accuracy31","Ordinal","GY",0.803846153846154,0.0304182509505705,0.0192307692307692,1,0.0377358490566038
"Accuracy5","Ordinal","GY",0.804597701149425,0.0521256141850036,0.0384615384615385,0.995215311004785,0.0727272727272727
"Accuracy13","Ordinal","GY",0.803846153846154,0.0304182509505705,0.0192307692307692,1,0.0377358490566038
"Accuracy23","Ordinal","GY",0.811538461538462,0.109090909090909,0.0769230769230769,0.995192307692308,0.140350877192982
"Accuracy32","Ordinal","GY",0.803846153846154,0.0304182509505705,0.0192307692307692,1,0.0377358490566038
"Accuracy41","Ordinal","GY",0.807692307692308,0.0601503759398498,0.0384615384615385,1,0.0740740740740741
