"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.798561151079137,0,0,1,NA
"Accuracy2","Ordinal","GY",0.798561151079137,0,0,1,NA
"Accuracy1","Ordinal","GY",0.8014440433213,0,0,1,NA
"Accuracy3","Ordinal","GY",0.798561151079137,0,0,1,NA
"Accuracy11","Ordinal","GY",0.8014440433213,0,0,1,NA
"Accuracy21","Ordinal","GY",0.79136690647482,0.026563631972953,0.0357142857142857,0.981981981981982,0.0645161290322581
"Accuracy4","Ordinal","GY",0.798561151079137,0,0,1,NA
"Accuracy12","Ordinal","GY",0.8014440433213,0,0,1,NA
"Accuracy22","Ordinal","GY",0.79136690647482,0.026563631972953,0.0357142857142857,0.981981981981982,0.0645161290322581
"Accuracy31","Ordinal","GY",0.808664259927798,0.0570364185239904,0.0363636363636364,1,0.0701754385964912
"Accuracy5","Ordinal","GY",0.798561151079137,0,0,1,NA
"Accuracy13","Ordinal","GY",0.8014440433213,0,0,1,NA
"Accuracy23","Ordinal","GY",0.79136690647482,0.026563631972953,0.0357142857142857,0.981981981981982,0.0645161290322581
"Accuracy32","Ordinal","GY",0.808664259927798,0.0570364185239904,0.0363636363636364,1,0.0701754385964912
"Accuracy41","Ordinal","GY",0.798561151079137,0.0208805031446542,0.0178571428571429,0.995495495495496,0.0344827586206896
