"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.341726618705036,0.0563860963757094,0.928571428571429,0.193693693693694,0.362369337979094
"Accuracy1","Ordinal","GY",0.407942238267148,0.0562180579216355,0.8,0.310810810810811,0.349206349206349
"Accuracy2","Ordinal","GY",0.392086330935252,0.065258047829374,0.857142857142857,0.274774774774775,0.362264150943396
"Accuracy3","Ordinal","GY",0.379061371841155,0.0560310667300682,0.854545454545454,0.261261261261261,0.353383458646617
"Accuracy4","Ordinal","GY",0.370503597122302,0.0384235284816381,0.821428571428571,0.256756756756757,0.344569288389513
