"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","DTHD",0.361290322580645,0.0712945590994371,0.935483870967742,0.217741935483871,0.369426751592357
"Accuracy2","Ordinal","DTHD",0.361290322580645,0.0712945590994371,0.935483870967742,0.217741935483871,0.369426751592357
"Accuracy1","Ordinal","DTHD",0.335483870967742,0.0337711069418387,0.870967741935484,0.201612903225806,0.343949044585987
"Accuracy3","Ordinal","DTHD",0.361290322580645,0.0712945590994371,0.935483870967742,0.217741935483871,0.369426751592357
"Accuracy11","Ordinal","DTHD",0.335483870967742,0.0337711069418387,0.870967741935484,0.201612903225806,0.343949044585987
"Accuracy21","Ordinal","DTHD",0.348387096774194,0.0525328330206379,0.903225806451613,0.209677419354839,0.356687898089172
"Accuracy4","Ordinal","DTHD",0.361290322580645,0.0712945590994371,0.935483870967742,0.217741935483871,0.369426751592357
"Accuracy12","Ordinal","DTHD",0.335483870967742,0.0337711069418387,0.870967741935484,0.201612903225806,0.343949044585987
"Accuracy22","Ordinal","DTHD",0.348387096774194,0.0525328330206379,0.903225806451613,0.209677419354839,0.356687898089172
"Accuracy31","Ordinal","DTHD",0.309677419354839,0.0497335701598579,0.967741935483871,0.145161290322581,0.359281437125748
"Accuracy5","Ordinal","DTHD",0.361290322580645,0.0712945590994371,0.935483870967742,0.217741935483871,0.369426751592357
"Accuracy13","Ordinal","DTHD",0.335483870967742,0.0337711069418387,0.870967741935484,0.201612903225806,0.343949044585987
"Accuracy23","Ordinal","DTHD",0.348387096774194,0.0525328330206379,0.903225806451613,0.209677419354839,0.356687898089172
"Accuracy32","Ordinal","DTHD",0.309677419354839,0.0497335701598579,0.967741935483871,0.145161290322581,0.359281437125748
"Accuracy41","Ordinal","DTHD",0.329032258064516,0.0510948905109488,0.935483870967742,0.17741935483871,0.358024691358025
"Accuracy6","Ordinal","DTMT",0.419354838709677,0.110671936758893,0.935483870967742,0.290322580645161,0.391891891891892
"Accuracy7","Ordinal","DTMT",0.419354838709677,0.110671936758893,0.935483870967742,0.290322580645161,0.391891891891892
"Accuracy14","Ordinal","DTMT",0.406451612903226,0.122137404580153,1,0.258064516129032,0.402597402597403
"Accuracy8","Ordinal","DTMT",0.419354838709677,0.110671936758893,0.935483870967742,0.290322580645161,0.391891891891892
"Accuracy15","Ordinal","DTMT",0.406451612903226,0.122137404580153,1,0.258064516129032,0.402597402597403
"Accuracy24","Ordinal","DTMT",0.393548387096774,0.103053435114504,0.967741935483871,0.25,0.38961038961039
"Accuracy9","Ordinal","DTMT",0.419354838709677,0.110671936758893,0.935483870967742,0.290322580645161,0.391891891891892
"Accuracy16","Ordinal","DTMT",0.406451612903226,0.122137404580153,1,0.258064516129032,0.402597402597403
"Accuracy25","Ordinal","DTMT",0.393548387096774,0.103053435114504,0.967741935483871,0.25,0.38961038961039
"Accuracy33","Ordinal","DTMT",0.432258064516129,0.12,0.935483870967742,0.306451612903226,0.397260273972603
"Accuracy10","Ordinal","DTMT",0.419354838709677,0.110671936758893,0.935483870967742,0.290322580645161,0.391891891891892
"Accuracy17","Ordinal","DTMT",0.406451612903226,0.122137404580153,1,0.258064516129032,0.402597402597403
"Accuracy26","Ordinal","DTMT",0.393548387096774,0.103053435114504,0.967741935483871,0.25,0.38961038961039
"Accuracy34","Ordinal","DTMT",0.432258064516129,0.12,0.935483870967742,0.306451612903226,0.397260273972603
"Accuracy42","Ordinal","DTMT",0.361290322580645,0.0607210626185957,0.903225806451613,0.225806451612903,0.361290322580645
"Accuracy18","Ordinal","GY",0.406451612903226,0.0573770491803278,0.806451612903226,0.306451612903226,0.352112676056338
"Accuracy19","Ordinal","GY",0.406451612903226,0.0573770491803278,0.806451612903226,0.306451612903226,0.352112676056338
"Accuracy110","Ordinal","GY",0.425806451612903,0.104627766599597,0.903225806451613,0.306451612903226,0.386206896551724
"Accuracy20","Ordinal","GY",0.406451612903226,0.0573770491803278,0.806451612903226,0.306451612903226,0.352112676056338
"Accuracy111","Ordinal","GY",0.425806451612903,0.104627766599597,0.903225806451613,0.306451612903226,0.386206896551724
"Accuracy27","Ordinal","GY",0.4,0.107485604606526,0.967741935483871,0.258064516129032,0.392156862745098
"Accuracy28","Ordinal","GY",0.406451612903226,0.0573770491803278,0.806451612903226,0.306451612903226,0.352112676056338
"Accuracy112","Ordinal","GY",0.425806451612903,0.104627766599597,0.903225806451613,0.306451612903226,0.386206896551724
"Accuracy29","Ordinal","GY",0.4,0.107485604606526,0.967741935483871,0.258064516129032,0.392156862745098
"Accuracy35","Ordinal","GY",0.341935483870968,0.0485074626865672,0.903225806451613,0.201612903225806,0.354430379746835
"Accuracy30","Ordinal","GY",0.406451612903226,0.0573770491803278,0.806451612903226,0.306451612903226,0.352112676056338
"Accuracy113","Ordinal","GY",0.425806451612903,0.104627766599597,0.903225806451613,0.306451612903226,0.386206896551724
"Accuracy210","Ordinal","GY",0.4,0.107485604606526,0.967741935483871,0.258064516129032,0.392156862745098
"Accuracy36","Ordinal","GY",0.341935483870968,0.0485074626865672,0.903225806451613,0.201612903225806,0.354430379746835
"Accuracy43","Ordinal","GY",0.380645161290323,0.0943396226415094,0.967741935483871,0.233870967741935,0.384615384615385
"Accuracy37","Ordinal","Height",0.32258064516129,0.036697247706422,0.903225806451613,0.17741935483871,0.347826086956522
"Accuracy38","Ordinal","Height",0.32258064516129,0.036697247706422,0.903225806451613,0.17741935483871,0.347826086956522
"Accuracy114","Ordinal","Height",0.335483870967742,0.0653357531760436,0.967741935483871,0.17741935483871,0.368098159509202
"Accuracy39","Ordinal","Height",0.32258064516129,0.036697247706422,0.903225806451613,0.17741935483871,0.347826086956522
"Accuracy115","Ordinal","Height",0.335483870967742,0.0653357531760436,0.967741935483871,0.17741935483871,0.368098159509202
"Accuracy211","Ordinal","Height",0.335483870967742,0.0653357531760436,0.967741935483871,0.17741935483871,0.368098159509202
"Accuracy40","Ordinal","Height",0.32258064516129,0.036697247706422,0.903225806451613,0.17741935483871,0.347826086956522
"Accuracy116","Ordinal","Height",0.335483870967742,0.0653357531760436,0.967741935483871,0.17741935483871,0.368098159509202
"Accuracy212","Ordinal","Height",0.335483870967742,0.0653357531760436,0.967741935483871,0.17741935483871,0.368098159509202
"Accuracy310","Ordinal","Height",0.348387096774194,0.0733944954128441,0.967741935483871,0.193548387096774,0.372670807453416
"Accuracy44","Ordinal","Height",0.32258064516129,0.036697247706422,0.903225806451613,0.17741935483871,0.347826086956522
"Accuracy117","Ordinal","Height",0.335483870967742,0.0653357531760436,0.967741935483871,0.17741935483871,0.368098159509202
"Accuracy213","Ordinal","Height",0.335483870967742,0.0653357531760436,0.967741935483871,0.17741935483871,0.368098159509202
"Accuracy311","Ordinal","Height",0.348387096774194,0.0733944954128441,0.967741935483871,0.193548387096774,0.372670807453416
"Accuracy45","Ordinal","Height",0.316129032258064,0.0433212996389891,0.935483870967742,0.161290322580645,0.353658536585366
