"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","DTHD",0.832258064516129,0.285714285714286,0.225806451612903,0.983870967741935,0.35
"Accuracy2","Ordinal","DTHD",0.832258064516129,0.285714285714286,0.225806451612903,0.983870967741935,0.35
"Accuracy1","Ordinal","DTHD",0.774193548387097,-0.0115606936416184,0.032258064516129,0.959677419354839,0.0540540540540541
"Accuracy3","Ordinal","DTHD",0.832258064516129,0.285714285714286,0.225806451612903,0.983870967741935,0.35
"Accuracy11","Ordinal","DTHD",0.774193548387097,-0.0115606936416184,0.032258064516129,0.959677419354839,0.0540540540540541
"Accuracy21","Ordinal","DTHD",0.767741935483871,0.0721649484536082,0.129032258064516,0.92741935483871,0.181818181818182
"Accuracy4","Ordinal","DTHD",0.832258064516129,0.285714285714286,0.225806451612903,0.983870967741935,0.35
"Accuracy12","Ordinal","DTHD",0.774193548387097,-0.0115606936416184,0.032258064516129,0.959677419354839,0.0540540540540541
"Accuracy22","Ordinal","DTHD",0.767741935483871,0.0721649484536082,0.129032258064516,0.92741935483871,0.181818181818182
"Accuracy31","Ordinal","DTHD",0.787096774193548,0.108108108108108,0.129032258064516,0.951612903225806,0.195121951219512
"Accuracy5","Ordinal","DTHD",0.832258064516129,0.285714285714286,0.225806451612903,0.983870967741935,0.35
"Accuracy13","Ordinal","DTHD",0.774193548387097,-0.0115606936416184,0.032258064516129,0.959677419354839,0.0540540540540541
"Accuracy23","Ordinal","DTHD",0.767741935483871,0.0721649484536082,0.129032258064516,0.92741935483871,0.181818181818182
"Accuracy32","Ordinal","DTHD",0.787096774193548,0.108108108108108,0.129032258064516,0.951612903225806,0.195121951219512
"Accuracy41","Ordinal","DTHD",0.767741935483871,0.0425531914893615,0.0967741935483871,0.935483870967742,0.142857142857143
"Accuracy6","Ordinal","DTMT",0.780645161290323,0.15,0.193548387096774,0.92741935483871,0.260869565217391
"Accuracy7","Ordinal","DTMT",0.780645161290323,0.15,0.193548387096774,0.92741935483871,0.260869565217391
"Accuracy14","Ordinal","DTMT",0.787096774193548,0.187192118226601,0.225806451612903,0.92741935483871,0.297872340425532
"Accuracy8","Ordinal","DTMT",0.780645161290323,0.15,0.193548387096774,0.92741935483871,0.260869565217391
"Accuracy15","Ordinal","DTMT",0.787096774193548,0.187192118226601,0.225806451612903,0.92741935483871,0.297872340425532
"Accuracy24","Ordinal","DTMT",0.754838709677419,0.0206185567010312,0.0967741935483871,0.919354838709677,0.136363636363636
"Accuracy9","Ordinal","DTMT",0.780645161290323,0.15,0.193548387096774,0.92741935483871,0.260869565217391
"Accuracy16","Ordinal","DTMT",0.787096774193548,0.187192118226601,0.225806451612903,0.92741935483871,0.297872340425532
"Accuracy25","Ordinal","DTMT",0.754838709677419,0.0206185567010312,0.0967741935483871,0.919354838709677,0.136363636363636
"Accuracy33","Ordinal","DTMT",0.825806451612903,0.334975369458128,0.32258064516129,0.951612903225806,0.425531914893617
"Accuracy10","Ordinal","DTMT",0.780645161290323,0.15,0.193548387096774,0.92741935483871,0.260869565217391
"Accuracy17","Ordinal","DTMT",0.787096774193548,0.187192118226601,0.225806451612903,0.92741935483871,0.297872340425532
"Accuracy26","Ordinal","DTMT",0.754838709677419,0.0206185567010312,0.0967741935483871,0.919354838709677,0.136363636363636
"Accuracy34","Ordinal","DTMT",0.825806451612903,0.334975369458128,0.32258064516129,0.951612903225806,0.425531914893617
"Accuracy42","Ordinal","DTMT",0.741935483870968,0.152542372881356,0.290322580645161,0.854838709677419,0.310344827586207
"Accuracy18","Ordinal","GY",0.787096774193548,0.309623430962343,0.419354838709677,0.879032258064516,0.440677966101695
"Accuracy19","Ordinal","GY",0.787096774193548,0.309623430962343,0.419354838709677,0.879032258064516,0.440677966101695
"Accuracy110","Ordinal","GY",0.780645161290323,0.0957446808510637,0.129032258064516,0.943548387096774,0.19047619047619
"Accuracy20","Ordinal","GY",0.787096774193548,0.309623430962343,0.419354838709677,0.879032258064516,0.440677966101695
"Accuracy111","Ordinal","GY",0.780645161290323,0.0957446808510637,0.129032258064516,0.943548387096774,0.19047619047619
"Accuracy27","Ordinal","GY",0.8,0.104046242774567,0.0967741935483871,0.975806451612903,0.162162162162162
"Accuracy28","Ordinal","GY",0.787096774193548,0.309623430962343,0.419354838709677,0.879032258064516,0.440677966101695
"Accuracy112","Ordinal","GY",0.780645161290323,0.0957446808510637,0.129032258064516,0.943548387096774,0.19047619047619
"Accuracy29","Ordinal","GY",0.8,0.104046242774567,0.0967741935483871,0.975806451612903,0.162162162162162
"Accuracy35","Ordinal","GY",0.780645161290323,0.174757281553398,0.225806451612903,0.919354838709677,0.291666666666667
"Accuracy30","Ordinal","GY",0.787096774193548,0.309623430962343,0.419354838709677,0.879032258064516,0.440677966101695
"Accuracy113","Ordinal","GY",0.780645161290323,0.0957446808510637,0.129032258064516,0.943548387096774,0.19047619047619
"Accuracy210","Ordinal","GY",0.8,0.104046242774567,0.0967741935483871,0.975806451612903,0.162162162162162
"Accuracy36","Ordinal","GY",0.780645161290323,0.174757281553398,0.225806451612903,0.919354838709677,0.291666666666667
"Accuracy43","Ordinal","GY",0.767741935483871,0.0425531914893615,0.0967741935483871,0.935483870967742,0.142857142857143
"Accuracy37","Ordinal","Height",0.787096774193548,0.108108108108108,0.129032258064516,0.951612903225806,0.195121951219512
"Accuracy38","Ordinal","Height",0.787096774193548,0.108108108108108,0.129032258064516,0.951612903225806,0.195121951219512
"Accuracy114","Ordinal","Height",0.787096774193548,0.187192118226601,0.225806451612903,0.92741935483871,0.297872340425532
"Accuracy39","Ordinal","Height",0.787096774193548,0.108108108108108,0.129032258064516,0.951612903225806,0.195121951219512
"Accuracy115","Ordinal","Height",0.787096774193548,0.187192118226601,0.225806451612903,0.92741935483871,0.297872340425532
