"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","DTHD",0.335483870967742,0.0115163147792706,0.806451612903226,0.217741935483871,0.326797385620915
"Accuracy2","Ordinal","DTHD",0.335483870967742,0.0115163147792706,0.806451612903226,0.217741935483871,0.326797385620915
"Accuracy1","Ordinal","DTHD",0.380645161290323,0.0399999999999999,0.806451612903226,0.274193548387097,0.342465753424658
"Accuracy3","Ordinal","DTHD",0.335483870967742,0.0115163147792706,0.806451612903226,0.217741935483871,0.326797385620915
"Accuracy11","Ordinal","DTHD",0.380645161290323,0.0399999999999999,0.806451612903226,0.274193548387097,0.342465753424658
"Accuracy21","Ordinal","DTHD",0.412903225806452,0.095427435387674,0.903225806451613,0.290322580645161,0.380952380952381
"Accuracy4","Ordinal","DTHD",0.335483870967742,0.0115163147792706,0.806451612903226,0.217741935483871,0.326797385620915
"Accuracy12","Ordinal","DTHD",0.380645161290323,0.0399999999999999,0.806451612903226,0.274193548387097,0.342465753424658
"Accuracy22","Ordinal","DTHD",0.412903225806452,0.095427435387674,0.903225806451613,0.290322580645161,0.380952380952381
"Accuracy31","Ordinal","DTHD",0.329032258064516,0.0188679245283019,0.838709677419355,0.201612903225806,0.333333333333333
"Accuracy5","Ordinal","DTHD",0.335483870967742,0.0115163147792706,0.806451612903226,0.217741935483871,0.326797385620915
"Accuracy13","Ordinal","DTHD",0.380645161290323,0.0399999999999999,0.806451612903226,0.274193548387097,0.342465753424658
"Accuracy23","Ordinal","DTHD",0.412903225806452,0.095427435387674,0.903225806451613,0.290322580645161,0.380952380952381
"Accuracy32","Ordinal","DTHD",0.329032258064516,0.0188679245283019,0.838709677419355,0.201612903225806,0.333333333333333
"Accuracy41","Ordinal","DTHD",0.419354838709677,0.1,0.903225806451613,0.298387096774194,0.383561643835616
"Accuracy6","Ordinal","DTMT",0.374193548387097,0.058252427184466,0.870967741935484,0.25,0.357615894039735
"Accuracy7","Ordinal","DTMT",0.374193548387097,0.058252427184466,0.870967741935484,0.25,0.357615894039735
"Accuracy14","Ordinal","DTMT",0.425806451612903,0.104627766599597,0.903225806451613,0.306451612903226,0.386206896551724
"Accuracy8","Ordinal","DTMT",0.374193548387097,0.058252427184466,0.870967741935484,0.25,0.357615894039735
"Accuracy15","Ordinal","DTMT",0.425806451612903,0.104627766599597,0.903225806451613,0.306451612903226,0.386206896551724
"Accuracy24","Ordinal","DTMT",0.4,0.0755467196819086,0.870967741935484,0.282258064516129,0.36734693877551
"Accuracy9","Ordinal","DTMT",0.374193548387097,0.058252427184466,0.870967741935484,0.25,0.357615894039735
"Accuracy16","Ordinal","DTMT",0.425806451612903,0.104627766599597,0.903225806451613,0.306451612903226,0.386206896551724
"Accuracy25","Ordinal","DTMT",0.4,0.0755467196819086,0.870967741935484,0.282258064516129,0.36734693877551
"Accuracy33","Ordinal","DTMT",0.361290322580645,0.0816326530612244,0.967741935483871,0.209677419354839,0.377358490566038
"Accuracy10","Ordinal","DTMT",0.374193548387097,0.058252427184466,0.870967741935484,0.25,0.357615894039735
"Accuracy17","Ordinal","DTMT",0.425806451612903,0.104627766599597,0.903225806451613,0.306451612903226,0.386206896551724
"Accuracy26","Ordinal","DTMT",0.4,0.0755467196819086,0.870967741935484,0.282258064516129,0.36734693877551
"Accuracy34","Ordinal","DTMT",0.361290322580645,0.0816326530612244,0.967741935483871,0.209677419354839,0.377358490566038
"Accuracy42","Ordinal","DTMT",0.4,0.0970873786407767,0.935483870967742,0.266129032258065,0.384105960264901
"Accuracy18","Ordinal","GY",0.406451612903226,0.0909090909090908,0.903225806451613,0.282258064516129,0.378378378378378
"Accuracy19","Ordinal","GY",0.406451612903226,0.0909090909090908,0.903225806451613,0.282258064516129,0.378378378378378
"Accuracy110","Ordinal","GY",0.341935483870968,0.0485074626865672,0.903225806451613,0.201612903225806,0.354430379746835
"Accuracy20","Ordinal","GY",0.406451612903226,0.0909090909090908,0.903225806451613,0.282258064516129,0.378378378378378
"Accuracy111","Ordinal","GY",0.341935483870968,0.0485074626865672,0.903225806451613,0.201612903225806,0.354430379746835
"Accuracy27","Ordinal","GY",0.374193548387097,0.058252427184466,0.870967741935484,0.25,0.357615894039735
"Accuracy28","Ordinal","GY",0.406451612903226,0.0909090909090908,0.903225806451613,0.282258064516129,0.378378378378378
"Accuracy112","Ordinal","GY",0.341935483870968,0.0485074626865672,0.903225806451613,0.201612903225806,0.354430379746835
"Accuracy29","Ordinal","GY",0.374193548387097,0.058252427184466,0.870967741935484,0.25,0.357615894039735
"Accuracy35","Ordinal","GY",0.367741935483871,0.0648854961832061,0.903225806451613,0.233870967741935,0.363636363636364
"Accuracy30","Ordinal","GY",0.406451612903226,0.0909090909090908,0.903225806451613,0.282258064516129,0.378378378378378
"Accuracy113","Ordinal","GY",0.341935483870968,0.0485074626865672,0.903225806451613,0.201612903225806,0.354430379746835
"Accuracy210","Ordinal","GY",0.374193548387097,0.058252427184466,0.870967741935484,0.25,0.357615894039735
"Accuracy36","Ordinal","GY",0.367741935483871,0.0648854961832061,0.903225806451613,0.233870967741935,0.363636363636364
"Accuracy43","Ordinal","GY",0.4,0.107485604606526,0.967741935483871,0.258064516129032,0.392156862745098
"Accuracy37","Ordinal","Height",0.335483870967742,0.0115163147792706,0.806451612903226,0.217741935483871,0.326797385620915
"Accuracy38","Ordinal","Height",0.335483870967742,0.0115163147792706,0.806451612903226,0.217741935483871,0.326797385620915
"Accuracy114","Ordinal","Height",0.412903225806452,0.095427435387674,0.903225806451613,0.290322580645161,0.380952380952381
"Accuracy39","Ordinal","Height",0.335483870967742,0.0115163147792706,0.806451612903226,0.217741935483871,0.326797385620915
"Accuracy115","Ordinal","Height",0.412903225806452,0.095427435387674,0.903225806451613,0.290322580645161,0.380952380952381
"Accuracy211","Ordinal","Height",0.354838709677419,0.0671641791044777,0.935483870967742,0.209677419354839,0.367088607594937
"Accuracy40","Ordinal","Height",0.335483870967742,0.0115163147792706,0.806451612903226,0.217741935483871,0.326797385620915
"Accuracy116","Ordinal","Height",0.412903225806452,0.095427435387674,0.903225806451613,0.290322580645161,0.380952380952381
"Accuracy212","Ordinal","Height",0.354838709677419,0.0671641791044777,0.935483870967742,0.209677419354839,0.367088607594937
"Accuracy310","Ordinal","Height",0.361290322580645,0.0388349514563106,0.838709677419355,0.241935483870968,0.344370860927152
"Accuracy44","Ordinal","Height",0.335483870967742,0.0115163147792706,0.806451612903226,0.217741935483871,0.326797385620915
"Accuracy117","Ordinal","Height",0.412903225806452,0.095427435387674,0.903225806451613,0.290322580645161,0.380952380952381
"Accuracy213","Ordinal","Height",0.354838709677419,0.0671641791044777,0.935483870967742,0.209677419354839,0.367088607594937
"Accuracy311","Ordinal","Height",0.361290322580645,0.0388349514563106,0.838709677419355,0.241935483870968,0.344370860927152
"Accuracy45","Ordinal","Height",0.329032258064516,0.0510948905109488,0.935483870967742,0.17741935483871,0.358024691358025
