"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.638297872340426,0.202462152720013,0.649122807017544,0.635555555555556,0.420454545454545
"Accuracy2","Ordinal","GY",0.638297872340426,0.202462152720013,0.649122807017544,0.635555555555556,0.420454545454545
"Accuracy1","Ordinal","GY",0.664285714285714,0.244372990353698,0.678571428571429,0.660714285714286,0.447058823529412
"Accuracy3","Ordinal","GY",0.638297872340426,0.202462152720013,0.649122807017544,0.635555555555556,0.420454545454545
"Accuracy11","Ordinal","GY",0.664285714285714,0.244372990353698,0.678571428571429,0.660714285714286,0.447058823529412
"Accuracy21","Ordinal","GY",0.628571428571429,0.130434782608696,0.517857142857143,0.65625,0.358024691358025
"Accuracy4","Ordinal","GY",0.638297872340426,0.202462152720013,0.649122807017544,0.635555555555556,0.420454545454545
"Accuracy12","Ordinal","GY",0.664285714285714,0.244372990353698,0.678571428571429,0.660714285714286,0.447058823529412
"Accuracy22","Ordinal","GY",0.628571428571429,0.130434782608696,0.517857142857143,0.65625,0.358024691358025
"Accuracy31","Ordinal","GY",0.589285714285714,0.0710823909531503,0.482142857142857,0.616071428571429,0.319526627218935
"Accuracy5","Ordinal","GY",0.638297872340426,0.202462152720013,0.649122807017544,0.635555555555556,0.420454545454545
"Accuracy13","Ordinal","GY",0.664285714285714,0.244372990353698,0.678571428571429,0.660714285714286,0.447058823529412
"Accuracy23","Ordinal","GY",0.628571428571429,0.130434782608696,0.517857142857143,0.65625,0.358024691358025
"Accuracy32","Ordinal","GY",0.589285714285714,0.0710823909531503,0.482142857142857,0.616071428571429,0.319526627218935
"Accuracy41","Ordinal","GY",0.622775800711744,0.180667876987402,0.642857142857143,0.617777777777778,0.404494382022472
