"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.797872340425532,0,0,1,NA
"Accuracy2","Ordinal","GY",0.797872340425532,0,0,1,NA
"Accuracy1","Ordinal","GY",0.8,0,0,1,NA
"Accuracy3","Ordinal","GY",0.797872340425532,0,0,1,NA
"Accuracy11","Ordinal","GY",0.8,0,0,1,NA
"Accuracy21","Ordinal","GY",0.803571428571429,0.0282685512367494,0.0178571428571429,1,0.0350877192982456
"Accuracy4","Ordinal","GY",0.797872340425532,0,0,1,NA
"Accuracy12","Ordinal","GY",0.8,0,0,1,NA
"Accuracy22","Ordinal","GY",0.803571428571429,0.0282685512367494,0.0178571428571429,1,0.0350877192982456
"Accuracy31","Ordinal","GY",0.8,0,0,1,NA
"Accuracy5","Ordinal","GY",0.797872340425532,0,0,1,NA
"Accuracy13","Ordinal","GY",0.8,0,0,1,NA
"Accuracy23","Ordinal","GY",0.803571428571429,0.0282685512367494,0.0178571428571429,1,0.0350877192982456
"Accuracy32","Ordinal","GY",0.8,0,0,1,NA
"Accuracy41","Ordinal","GY",0.800711743772242,0,0,1,NA
