"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","DTHD",0.396907216494845,0.03715958259099,0.769230769230769,0.303225806451613,0.338983050847458
"Accuracy2","Ordinal","DTHD",0.396907216494845,0.03715958259099,0.769230769230769,0.303225806451613,0.338983050847458
"Accuracy1","Ordinal","DTHD",0.421875,0.107687154580472,0.921052631578947,0.298701298701299,0.386740331491713
"Accuracy3","Ordinal","DTHD",0.396907216494845,0.03715958259099,0.769230769230769,0.303225806451613,0.338983050847458
"Accuracy11","Ordinal","DTHD",0.421875,0.107687154580472,0.921052631578947,0.298701298701299,0.386740331491713
"Accuracy21","Ordinal","DTHD",0.455958549222798,0.116493002572263,0.871794871794872,0.350649350649351,0.393063583815029
"Accuracy4","Ordinal","DTHD",0.396907216494845,0.03715958259099,0.769230769230769,0.303225806451613,0.338983050847458
"Accuracy12","Ordinal","DTHD",0.421875,0.107687154580472,0.921052631578947,0.298701298701299,0.386740331491713
"Accuracy22","Ordinal","DTHD",0.455958549222798,0.116493002572263,0.871794871794872,0.350649350649351,0.393063583815029
"Accuracy31","Ordinal","DTHD",0.401041666666667,0.0844252778238515,0.894736842105263,0.279220779220779,0.371584699453552
"Accuracy5","Ordinal","DTHD",0.396907216494845,0.03715958259099,0.769230769230769,0.303225806451613,0.338983050847458
"Accuracy13","Ordinal","DTHD",0.421875,0.107687154580472,0.921052631578947,0.298701298701299,0.386740331491713
"Accuracy23","Ordinal","DTHD",0.455958549222798,0.116493002572263,0.871794871794872,0.350649350649351,0.393063583815029
"Accuracy32","Ordinal","DTHD",0.401041666666667,0.0844252778238515,0.894736842105263,0.279220779220779,0.371584699453552
"Accuracy41","Ordinal","DTHD",0.424870466321244,0.0932831083082915,0.871794871794872,0.311688311688312,0.379888268156425
"Accuracy6","Ordinal","DTMT",0.412371134020619,0.0930861969982776,0.897435897435897,0.290322580645161,0.380434782608696
"Accuracy7","Ordinal","DTMT",0.412371134020619,0.0930861969982776,0.897435897435897,0.290322580645161,0.380434782608696
"Accuracy14","Ordinal","DTMT",0.40625,0.0790979468192527,0.868421052631579,0.292207792207792,0.366666666666667
"Accuracy8","Ordinal","DTMT",0.412371134020619,0.0930861969982776,0.897435897435897,0.290322580645161,0.380434782608696
"Accuracy15","Ordinal","DTMT",0.40625,0.0790979468192527,0.868421052631579,0.292207792207792,0.366666666666667
"Accuracy24","Ordinal","DTMT",0.383419689119171,0.089947299599794,0.948717948717949,0.24025974025974,0.383419689119171
