"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","DTHD",0.355670103092784,0.0880030086498683,1,0.193548387096774,0.38423645320197
"Accuracy2","Ordinal","DTHD",0.355670103092784,0.0880030086498683,1,0.193548387096774,0.38423645320197
"Accuracy1","Ordinal","DTHD",0.338541666666667,0.0611427691359926,0.947368421052632,0.188311688311688,0.361809045226131
"Accuracy3","Ordinal","DTHD",0.355670103092784,0.0880030086498683,1,0.193548387096774,0.38423645320197
"Accuracy11","Ordinal","DTHD",0.338541666666667,0.0611427691359926,0.947368421052632,0.188311688311688,0.361809045226131
"Accuracy21","Ordinal","DTHD",0.305699481865285,0.0325452641029478,0.923076923076923,0.149350649350649,0.349514563106796
"Accuracy4","Ordinal","DTHD",0.355670103092784,0.0880030086498683,1,0.193548387096774,0.38423645320197
"Accuracy12","Ordinal","DTHD",0.338541666666667,0.0611427691359926,0.947368421052632,0.188311688311688,0.361809045226131
"Accuracy22","Ordinal","DTHD",0.305699481865285,0.0325452641029478,0.923076923076923,0.149350649350649,0.349514563106796
"Accuracy31","Ordinal","DTHD",0.34375,0.0726770929162833,0.973684210526316,0.188311688311688,0.37
"Accuracy5","Ordinal","DTHD",0.355670103092784,0.0880030086498683,1,0.193548387096774,0.38423645320197
"Accuracy13","Ordinal","DTHD",0.338541666666667,0.0611427691359926,0.947368421052632,0.188311688311688,0.361809045226131
"Accuracy23","Ordinal","DTHD",0.305699481865285,0.0325452641029478,0.923076923076923,0.149350649350649,0.349514563106796
"Accuracy32","Ordinal","DTHD",0.34375,0.0726770929162833,0.973684210526316,0.188311688311688,0.37
"Accuracy41","Ordinal","DTHD",0.300518134715026,0.0295005028494804,0.923076923076923,0.142857142857143,0.347826086956522
"Accuracy6","Ordinal","DTMT",0.319587628865979,0.0493726334545994,0.948717948717949,0.161290322580645,0.359223300970874
"Accuracy7","Ordinal","DTMT",0.319587628865979,0.0493726334545994,0.948717948717949,0.161290322580645,0.359223300970874
"Accuracy14","Ordinal","DTMT",0.270833333333333,0.0218340611353712,0.947368421052632,0.103896103896104,0.339622641509434
"Accuracy8","Ordinal","DTMT",0.319587628865979,0.0493726334545994,0.948717948717949,0.161290322580645,0.359223300970874
"Accuracy15","Ordinal","DTMT",0.270833333333333,0.0218340611353712,0.947368421052632,0.103896103896104,0.339622641509434
"Accuracy24","Ordinal","DTMT",0.326424870466321,0.061424509950621,0.974358974358974,0.162337662337662,0.368932038834952
"Accuracy9","Ordinal","DTMT",0.319587628865979,0.0493726334545994,0.948717948717949,0.161290322580645,0.359223300970874
"Accuracy16","Ordinal","DTMT",0.270833333333333,0.0218340611353712,0.947368421052632,0.103896103896104,0.339622641509434
"Accuracy25","Ordinal","DTMT",0.326424870466321,0.061424509950621,0.974358974358974,0.162337662337662,0.368932038834952
"Accuracy33","Ordinal","DTMT",0.322916666666667,0.0599578186200663,0.973684210526316,0.162337662337662,0.362745098039216
"Accuracy10","Ordinal","DTMT",0.319587628865979,0.0493726334545994,0.948717948717949,0.161290322580645,0.359223300970874
"Accuracy17","Ordinal","DTMT",0.270833333333333,0.0218340611353712,0.947368421052632,0.103896103896104,0.339622641509434
"Accuracy26","Ordinal","DTMT",0.326424870466321,0.061424509950621,0.974358974358974,0.162337662337662,0.368932038834952
"Accuracy34","Ordinal","DTMT",0.322916666666667,0.0599578186200663,0.973684210526316,0.162337662337662,0.362745098039216
"Accuracy42","Ordinal","DTMT",0.300518134715026,0.0295005028494804,0.923076923076923,0.142857142857143,0.347826086956522
"Accuracy18","Ordinal","GY",0.43298969072165,0.0902890271975445,0.846153846153846,0.329032258064516,0.375
"Accuracy19","Ordinal","GY",0.43298969072165,0.0902890271975445,0.846153846153846,0.329032258064516,0.375
"Accuracy110","Ordinal","GY",0.442708333333333,0.122801024765158,0.921052631578947,0.324675324675325,0.395480225988701
"Accuracy20","Ordinal","GY",0.43298969072165,0.0902890271975445,0.846153846153846,0.329032258064516,0.375
"Accuracy111","Ordinal","GY",0.442708333333333,0.122801024765158,0.921052631578947,0.324675324675325,0.395480225988701
"Accuracy27","Ordinal","GY",0.440414507772021,0.113473970738346,0.897435897435897,0.324675324675325,0.393258426966292
"Accuracy28","Ordinal","GY",0.43298969072165,0.0902890271975445,0.846153846153846,0.329032258064516,0.375
"Accuracy112","Ordinal","GY",0.442708333333333,0.122801024765158,0.921052631578947,0.324675324675325,0.395480225988701
"Accuracy29","Ordinal","GY",0.440414507772021,0.113473970738346,0.897435897435897,0.324675324675325,0.393258426966292
"Accuracy35","Ordinal","GY",0.416666666666667,0.0952541231908448,0.894736842105263,0.298701298701299,0.377777777777778
"Accuracy30","Ordinal","GY",0.43298969072165,0.0902890271975445,0.846153846153846,0.329032258064516,0.375
"Accuracy113","Ordinal","GY",0.442708333333333,0.122801024765158,0.921052631578947,0.324675324675325,0.395480225988701
"Accuracy210","Ordinal","GY",0.440414507772021,0.113473970738346,0.897435897435897,0.324675324675325,0.393258426966292
"Accuracy36","Ordinal","GY",0.416666666666667,0.0952541231908448,0.894736842105263,0.298701298701299,0.377777777777778
"Accuracy43","Ordinal","GY",0.404145077720207,0.0872640539540239,0.897435897435897,0.279220779220779,0.378378378378378
"Accuracy37","Ordinal","Height",0.34020618556701,0.0620231170204729,0.948717948717949,0.187096774193548,0.366336633663366
"Accuracy38","Ordinal","Height",0.34020618556701,0.0620231170204729,0.948717948717949,0.187096774193548,0.366336633663366
"Accuracy114","Ordinal","Height",0.395833333333333,0.106546854942234,0.973684210526316,0.253246753246753,0.389473684210526
"Accuracy39","Ordinal","Height",0.34020618556701,0.0620231170204729,0.948717948717949,0.187096774193548,0.366336633663366
"Accuracy115","Ordinal","Height",0.395833333333333,0.106546854942234,0.973684210526316,0.253246753246753,0.389473684210526
"Accuracy211","Ordinal","Height",0.38860103626943,0.0934638961866093,0.948717948717949,0.246753246753247,0.385416666666667
"Accuracy40","Ordinal","Height",0.34020618556701,0.0620231170204729,0.948717948717949,0.187096774193548,0.366336633663366
"Accuracy116","Ordinal","Height",0.395833333333333,0.106546854942234,0.973684210526316,0.253246753246753,0.389473684210526
"Accuracy212","Ordinal","Height",0.38860103626943,0.0934638961866093,0.948717948717949,0.246753246753247,0.385416666666667
"Accuracy310","Ordinal","Height",0.385416666666667,0.0911424903722722,0.947368421052632,0.246753246753247,0.378947368421053
"Accuracy44","Ordinal","Height",0.34020618556701,0.0620231170204729,0.948717948717949,0.187096774193548,0.366336633663366
"Accuracy117","Ordinal","Height",0.395833333333333,0.106546854942234,0.973684210526316,0.253246753246753,0.389473684210526
"Accuracy213","Ordinal","Height",0.38860103626943,0.0934638961866093,0.948717948717949,0.246753246753247,0.385416666666667
"Accuracy311","Ordinal","Height",0.385416666666667,0.0911424903722722,0.947368421052632,0.246753246753247,0.378947368421053
"Accuracy45","Ordinal","Height",0.352331606217617,0.0857240307727289,1,0.188311688311688,0.38423645320197
