"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.609929078014184,0.131821998320739,0.56140350877193,0.622222222222222,0.367816091954023
"Accuracy2","Ordinal","GY",0.609929078014184,0.131821998320739,0.56140350877193,0.622222222222222,0.367816091954023
"Accuracy1","Ordinal","GY",0.614285714285714,0.186746987951807,0.678571428571429,0.598214285714286,0.41304347826087
"Accuracy3","Ordinal","GY",0.609929078014184,0.131821998320739,0.56140350877193,0.622222222222222,0.367816091954023
"Accuracy11","Ordinal","GY",0.614285714285714,0.186746987951807,0.678571428571429,0.598214285714286,0.41304347826087
"Accuracy21","Ordinal","GY",0.585714285714286,0.134328358208955,0.625,0.575892857142857,0.376344086021505
"Accuracy4","Ordinal","GY",0.609929078014184,0.131821998320739,0.56140350877193,0.622222222222222,0.367816091954023
"Accuracy12","Ordinal","GY",0.614285714285714,0.186746987951807,0.678571428571429,0.598214285714286,0.41304347826087
"Accuracy22","Ordinal","GY",0.585714285714286,0.134328358208955,0.625,0.575892857142857,0.376344086021505
"Accuracy31","Ordinal","GY",0.621428571428571,0.0955631399317407,0.464285714285714,0.660714285714286,0.329113924050633
"Accuracy5","Ordinal","GY",0.609929078014184,0.131821998320739,0.56140350877193,0.622222222222222,0.367816091954023
"Accuracy13","Ordinal","GY",0.614285714285714,0.186746987951807,0.678571428571429,0.598214285714286,0.41304347826087
"Accuracy23","Ordinal","GY",0.585714285714286,0.134328358208955,0.625,0.575892857142857,0.376344086021505
"Accuracy32","Ordinal","GY",0.621428571428571,0.0955631399317407,0.464285714285714,0.660714285714286,0.329113924050633
"Accuracy41","Ordinal","GY",0.633451957295374,0.221941450038979,0.714285714285714,0.613333333333333,0.437158469945355
