"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.689285714285714,0.230088495575221,0.571428571428571,0.71875,0.423841059602649
"Accuracy2","Ordinal","GY",0.689285714285714,0.230088495575221,0.571428571428571,0.71875,0.423841059602649
"Accuracy1","Ordinal","GY",0.666666666666667,0.240449635549311,0.660714285714286,0.668161434977579,0.44311377245509
"Accuracy3","Ordinal","GY",0.689285714285714,0.230088495575221,0.571428571428571,0.71875,0.423841059602649
"Accuracy11","Ordinal","GY",0.666666666666667,0.240449635549311,0.660714285714286,0.668161434977579,0.44311377245509
"Accuracy21","Ordinal","GY",0.671428571428571,0.222972972972973,0.607142857142857,0.6875,0.425
"Accuracy4","Ordinal","GY",0.689285714285714,0.230088495575221,0.571428571428571,0.71875,0.423841059602649
"Accuracy12","Ordinal","GY",0.666666666666667,0.240449635549311,0.660714285714286,0.668161434977579,0.44311377245509
"Accuracy22","Ordinal","GY",0.671428571428571,0.222972972972973,0.607142857142857,0.6875,0.425
"Accuracy31","Ordinal","GY",0.702508960573477,0.287279554338124,0.660714285714286,0.713004484304933,0.471337579617834
"Accuracy5","Ordinal","GY",0.689285714285714,0.230088495575221,0.571428571428571,0.71875,0.423841059602649
"Accuracy13","Ordinal","GY",0.666666666666667,0.240449635549311,0.660714285714286,0.668161434977579,0.44311377245509
"Accuracy23","Ordinal","GY",0.671428571428571,0.222972972972973,0.607142857142857,0.6875,0.425
"Accuracy32","Ordinal","GY",0.702508960573477,0.287279554338124,0.660714285714286,0.713004484304933,0.471337579617834
"Accuracy41","Ordinal","GY",0.696428571428571,0.271012006861063,0.642857142857143,0.709821428571429,0.45859872611465
