"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","Height",0.837662337662338,0.364896073903003,0.32258064516129,0.967479674796748,0.444444444444444
"Accuracy1","Ordinal","Height",0.815789473684211,0.223357664233576,0.2,0.967213114754098,0.3
"Accuracy2","Ordinal","Height",0.779220779220779,0.122948073701843,0.161290322580645,0.934959349593496,0.227272727272727
"Accuracy3","Ordinal","Height",0.815789473684211,0.223357664233576,0.2,0.967213114754098,0.3
"Accuracy4","Ordinal","Height",0.811688311688312,0.189473684210526,0.161290322580645,0.975609756097561,0.256410256410256
